
building_type,square_footage,number_of_occupants,appliances_used,average_temperature,day_of_week,energy_consumption
Industrial,21927,95,10,33.51,Weekday,4628.8
Residential,47564,23,44,25.48,Weekend,4860.8
Industrial,7145,67,37,21.23,Weekday,4211.11
Residential,17153,9,1,34.06,Weekday,2347.37
Commercial,12245,85,4,22.85,Weekend,3428.02
Industrial,42398,44,22,30.32,Weekend,5348.31
Commercial,8936,38,24,23.33,Weekday,3240.14
Commercial,21788,21,9,21.56,Weekend,3371.6
Commercial,20494,18,9,15.93,Weekend,3305.06
Industrial,20478,80,41,20.69,Weekend,5040.46
Residential,2470,65,46,20.94,Weekday,3138.81
Residential,1045,60,46,24.71,Weekend,2948.69
Industrial,29029,82,30,21.74,Weekend,5262.76
Commercial,5099,39,6,16.24,Weekend,2683.73
Commercial,36908,60,9,28.82,Weekday,4531.32
Industrial,30281,46,12,20.46,Weekend,4611.73
Residential,48775,54,27,17.78,Weekday,4979.87
Industrial,48337,69,44,15.67,Weekday,6458.51
Industrial,34893,86,28,16.18,Weekday,5633.76
Commercial,5280,49,26,30.56,Weekend,3121.19
Residential,15828,52,11,29.55,Weekend,2883.63
Residential,26212,35,1,23.3,Weekend,3064.11
Residential,14419,68,44,23.95,Weekend,3661.21
Industrial,12194,7,22,14.67,Weekend,3546.34
Commercial,39562,88,20,32.18,Weekday,5147.21
Residential,8348,67,37,16.48,Weekend,3244.98
Commercial,15813,57,11,31.4,Weekend,3423.63
